"","ch.kof.barometer"
"1",91.603983195147
"2",79.6110546651818
"3",89.5461510457633
"4",94.726562227573
"5",95.2760107540196
"6",91.6999806524614
"7",94.7603265991512
"8",98.9374845836479
"9",99.250530216109
"10",100.695954080549
"11",95.1439024740007
"12",93.829329862478
"13",99.6345882016597
"14",101.39972459498
"15",103.383161629919
"16",96.4129787522254
"17",95.50120124585
"18",94.9646448181194
"19",91.233122719892
"20",93.1004146432815
"21",98.0752849285184
"22",94.236093793915
"23",94.2859219912958
"24",97.7390410371803
"25",103.278993334549
"26",107.114063330872
"27",101.53317250345
"28",100.205407508852
"29",101.480860647209
"30",105.76018993057
"31",105.579338137316
"32",104.85132143875
"33",114.405048633553
"34",113.763660642047
"35",116.46694315049
"36",114.548720319861
"37",107.583745768171
"38",114.277680917615
"39",112.077984311711
"40",107.257185992024
"41",106.197941190568
"42",106.98878933386
"43",105.924221966025
"44",109.038824304608
"45",104.775554689306
"46",101.46610916093
"47",103.517293499086
"48",106.04784686333
"49",95.5629136079045
"50",99.4393890498739
"51",96.7751249976374
"52",94.0454648219616
"53",97.2778744383255
"54",94.916758011295
"55",94.5020441392903
"56",97.1026540105327
"57",98.2915870984822
"58",96.2145111387131
"59",98.7392163181444
"60",97.8673782369956
"61",100.004230365572
"62",94.6157627797911
"63",97.850342213784
"64",96.177899605823
"65",96.9550985974241
"66",98.6162488471051
"67",101.65402109437
"68",100.357107272959
"69",102.623967910592
"70",99.6573572264597
"71",105.226366880928
"72",105.215330672275
"73",106.506152539995
"74",110.33759840761
"75",109.846598404481
"76",105.702482382218
"77",111.42783104277
"78",106.863496862301
"79",108.747893713747
"80",107.162462525597
"81",104.983000142876
"82",109.233901915579
"83",101.862990886395
"84",101.218208633061
"85",100.949027235124
"86",101.825732394741
"87",99.615035290797
"88",100.503554377883
"89",103.055136449773
"90",97.831728806739
"91",102.328787655421
"92",96.7462319983245
"93",96.7375938089231
"94",95.4337822340131
"95",96.2011676776182
"96",102.792636975829
"97",98.8424715515575
"98",96.9574768103721
"99",96.3724077342088
"100",102.196396231443
"101",104.498349017589
"102",106.773562763992
"103",103.617053858568
"104",107.981977377026
"105",105.351139209254
"106",107.759465793049
"107",111.177656183159
"108",108.397954505081
"109",106.454399218727
"110",103.222881649959
"111",110.433448842305
"112",107.163992530133
"113",105.564589145961
"114",105.796262504588
"115",100.96807576883
"116",98.9035291771646
"117",98.6705804582663
"118",100.429687035144
"119",100.036847996034
"120",97.4677295328976
"121",96.9712307965361
"122",90.0700124195864
"123",88.6722658286561
"124",92.0953772859157
"125",87.8709439403794
"126",94.2690541327302
"127",93.9171983260831
"128",92.8497155676613
"129",89.6630955767935
"130",82.8231416690311
"131",84.0351770510457
"132",88.4438176798829
"133",92.9129981915376
"134",100.181536998553
"135",100.486329795809
"136",99.052739519272
"137",101.407750732241
"138",98.5570000606947
"139",95.2063450588913
"140",94.1027705491911
"141",95.1721219438162
"142",97.1563079963022
"143",96.6595110278807
"144",98.403346412176
"145",96.5883175174882
"146",93.3712562126305
"147",94.2766577950081
"148",92.471312199039
"149",96.4216559473219
"150",95.3533769799703
"151",102.396112621098
"152",104.562148765291
"153",105.594186732873
"154",107.419703573778
"155",109.656007067475
"156",108.899246776218
"157",108.639682825549
"158",108.39156722643
"159",108.803237224711
"160",110.035878050716
"161",108.598065847018
"162",105.410401681681
"163",105.267631351438
"164",102.567395558643
"165",101.466329298338
"166",102.064571768358
"167",99.6697550607435
"168",98.2702948533798
"169",98.0517015272886
"170",101.446919917826
"171",99.4001236781979
"172",101.446005219721
"173",100.46921584868
"174",102.333058560073
"175",104.563250621306
"176",105.04055279199
"177",106.839553038372
"178",106.793023316184
"179",107.242934076299
"180",106.991080399312
"181",108.842147368442
"182",107.625613189908
"183",108.11471249316
"184",108.099935795018
"185",106.669767672887
"186",108.693556837492
"187",103.895859203427
"188",105.782432075434
"189",103.542308343365
"190",103.653552394826
"191",106.015389245609
"192",106.726356067514
"193",105.215417328315
"194",104.116396340794
"195",105.243183107632
"196",102.272043272141
"197",100.115057284777
"198",103.110466241573
"199",100.388809637552
"200",100.93936500134
"201",103.573963666624
"202",99.3192977282798
"203",101.973810110773
"204",100.883499480218
"205",100.566534107508
"206",99.2115243277993
"207",95.2372541354263
"208",93.1286493309963
"209",95.1274035774923
"210",94.0500367926909
"211",92.6646381607594
"212",89.8275880857342
"213",85.515025807088
"214",85.5496246689571
"215",77.9280557751011
"216",76.5199165964346
"217",76.1274630638141
"218",75.4284331061148
"219",76.7855053169284
"220",80.6816370746561
"221",90.8992190008032
"222",95.2309818956582
"223",99.1712019222305
"224",102.694413776807
"225",107.594744568043
"226",108.053619609204
"227",110.461624371613
"228",112.229567859889
"229",107.434437839049
"230",115.829427006833
"231",115.017671170749
"232",115.769513026503
"233",115.915534106972
"234",113.381063167383
"235",110.967366019949
"236",107.771848256267
"237",106.675161202219
"238",104.381683041944
"239",104.560085314834
"240",101.994536036208
"241",102.359582052158
"242",100.535364532388
"243",103.93571938933
"244",101.205653238766
"245",98.0663530478689
"246",96.3466958547749
"247",89.8310383532093
"248",83.736409900888
"249",83.1594277526479
"250",88.0837266463625
"251",91.6684458998037
"252",94.7515843376987
"253",95.5277574867369
"254",95.3845603073774
"255",97.6147521404689
"256",99.1321374926407
"257",96.0318858731914
"258",98.2021350573686
"259",98.1501245295147
"260",105.350755535734
"261",106.257474426325
"262",100.664960718051
"263",100.251074210612
"264",101.628815833012
"265",102.427372383721
"266",106.997586061865
"267",104.315720875112
"268",101.502763297712
"269",102.784679660619
"270",101.675107579642
"271",104.331497979749
"272",105.860188757817
"273",107.170394674382
"274",106.015657856626
"275",104.871674665597
"276",106.454675118453
"277",105.58125964266
"278",108.073543677056
"279",107.534338200946
"280",105.365055155662
"281",103.481018205336
"282",103.865034879883
"283",100.798598244687
"284",99.5154039634461
"285",98.7019281651751
"286",98.4692271640966
"287",99.0343365437863
