"","ch.kof.barometer"
"288",96.5547153145507
"289",96.2048277288877
"290",82.3597533963418
"291",87.0179414387665
"292",85.5813614867535
"293",94.3506916704735
"294",93.0049827947648
"295",98.3422483270684
"296",100.758216608113
"297",99.3553202626742
"298",100.702545014873
"299",101.392894712506
"300",100.145456668832
"301",99.2290581253481
"302",104.970097489994
"303",103.193894935834
"304",105.949314189092
"305",103.057821345066
"306",105.002081217131
"307",103.929958629065
"308",101.992266088792
"309",103.187193659455
"310",102.078316107748
"311",100.695737304016
"312",102.711790692664
"313",103.480924031709
"314",106.186395194807
"315",108.374979077675
"316",107.722030250491
"317",108.904969534059
"318",109.483103449875
"319",107.581825353047
"320",105.583605634141
"321",109.249641093853
"322",108.854609596104
"323",108.988774812707
"324",109.514554587512
"325",108.68877045171
"326",103.634538176313
"327",100.37020453273
"328",101.958553650921
"329",98.8106307252669
"330",96.7674444280465
"331",98.9701963336581
"332",96.9153398712653
"333",99.2362833492243
"334",97.7471752164272
"335",98.8484160420561
"336",97.5119080452681
"337",96.1284531072922
"338",99.0975953195415
"339",100.225091858192
"340",97.7973998244932
"341",99.8628251258737
"342",100.459458948462
"343",95.1904822005806
"344",96.3518145412271
"345",95.8478614864545
"346",95.6078860529304
"347",97.4389853787145
"348",97.6348884302714
"349",101.284949057356
"350",99.1401229182289
"351",80.8353890647994
"352",53.9017854760594
"353",54.6470823913257
"354",89.5542712139382
"355",111.415591057211
"356",117.316070566298
"357",110.474866764959
"358",112.613913362865
"359",105.147015121129
"360",106.075174458353
"361",101.855863751142
"362",110.366563723852
"363",116.721870219116
"364",129.544542078621
"365",126.900728230071
"366",117.794667991045
"367",118.627216085295
"368",108.906533225142
"369",109.405169893568
"370",106.861584535016
"371",103.242454640371
"372",100.244173737069
"373",101.742260835017
"374",99.0082482012522
"375",91.8259258375241
"376",96.1760432926118
"377",91.0146250235973
"378",95.9359772046656
"379",91.5092224055179
"380",89.512085862295
"381",88.9756925022575
"382",87.2436230124362
"383",90.9395850950618
"384",93.307641492602
"385",94.8007333405363
"386",91.7655565449728
"387",96.6108376612578
"388",92.3291038327113
"389",89.7760860581691
"390",88.1756041834362
"391",90.5836283565344
"392",90.6568336440287
"393",93.7606821495114
"394",94.706055309961
"395",98.793876936574
"396",100.756626890196
"397",98.9493485418439
"398",100.59285665497
"399",101.535285464031
"400",100.804429688917
"401",105.789027093849
"402",103.547600498514
"403",101.310341665995
"404",104.99858175826
"405",105.507725331761
