idx_type,date,value
scs,2011-03-01,95.8
ins,2011-03-01,36.4
unw,2011-03-01,53.3
pzua,2011-03-01,8.4
sch,2011-06-01,98.9
scs,2011-06-01,97.6
ins,2011-06-01,35.9
unw,2011-06-01,55.7
pzua,2011-06-01,7.4
sch,2011-09-01,97.1
scs,2011-09-01,96.7
ins,2011-09-01,36
unw,2011-09-01,54
pzua,2011-09-01,7
sch,2011-12-01,92.3
scs,2011-12-01,96.2
ins,2011-12-01,34.2
unw,2011-12-01,53.1
pzua,2011-12-01,5
sch,2012-03-01,100.6
scs,2012-03-01,98.1
ins,2012-03-01,38
unw,2012-03-01,55.3
pzua,2012-03-01,7.3
sch,2012-06-01,97.1
scs,2012-06-01,96.2
ins,2012-06-01,36
unw,2012-06-01,54.8
pzua,2012-06-01,6.2
sch,2012-09-01,100.5
scs,2012-09-01,99.9
ins,2012-09-01,37
unw,2012-09-01,57.6
pzua,2012-09-01,5.8
sch,2012-12-01,93
scs,2012-12-01,96.9
ins,2012-12-01,36.2
unw,2012-12-01,52
pzua,2012-12-01,4.7
sch,2013-03-01,98.6
scs,2013-03-01,96
ins,2013-03-01,34
unw,2013-03-01,58.5
pzua,2013-03-01,6.1
sch,2013-06-01,100.2
scs,2013-06-01,99.6
ins,2013-06-01,37.9
unw,2013-06-01,56.9
pzua,2013-06-01,5.5
sch,2013-09-01,105.3
scs,2013-09-01,104.5
ins,2013-09-01,39.6
unw,2013-09-01,60.8
pzua,2013-09-01,4.9
sch,2013-12-01,107
scs,2013-12-01,111.4
ins,2013-12-01,41.1
unw,2013-12-01,62
pzua,2013-12-01,3.9
sch,2014-03-01,114.3
scs,2014-03-01,111.3
ins,2014-03-01,44.5
unw,2014-03-01,64.2
pzua,2014-03-01,5.6
sch,2014-06-01,109.2
scs,2014-06-01,108.6
ins,2014-06-01,44.1
unw,2014-06-01,60.3
pzua,2014-06-01,4.7
sch,2014-09-01,111.9
scs,2014-09-01,111.2
ins,2014-09-01,43.8
unw,2014-09-01,63.3
pzua,2014-09-01,4.8
sch,2014-12-01,101.2
scs,2014-12-01,105.1
ins,2014-12-01,37.7
unw,2014-12-01,59.1
pzua,2014-12-01,4.3
sch,2015-03-01,101.9
scs,2015-03-01,99.3
ins,2015-03-01,35.7
unw,2015-03-01,61.3
pzua,2015-03-01,4.9
sch,2015-06-01,100.5
scs,2015-06-01,100.1
ins,2015-06-01,38.3
unw,2015-06-01,58.7
pzua,2015-06-01,3.5
sch,2015-09-01,94.9
scs,2015-09-01,94.4
ins,2015-09-01,34.8
unw,2015-09-01,56.4
pzua,2015-09-01,3.6
sch,2015-12-01,92.2
scs,2015-12-01,95.3
ins,2015-12-01,33.6
unw,2015-12-01,55.8
pzua,2015-12-01,2.7
sch,2016-03-01,105.5
scs,2016-03-01,103.2
ins,2016-03-01,39.4
unw,2016-03-01,63.1
pzua,2016-03-01,3
sch,2016-06-01,106.4
scs,2016-06-01,105.7
ins,2016-06-01,43.6
unw,2016-06-01,59.5
pzua,2016-06-01,3.3
sch,2016-09-01,103.3
scs,2016-09-01,103.1
ins,2016-09-01,39.6
unw,2016-09-01,59.8
pzua,2016-09-01,3.9
sch,2016-12-01,100.3
scs,2016-12-01,103
ins,2016-12-01,38
unw,2016-12-01,59.7
pzua,2016-12-01,2.6
sch,2017-03-01,110.3
scs,2017-03-01,108.5
ins,2017-03-01,44.6
unw,2017-03-01,62.7
pzua,2017-03-01,3
sch,2017-06-01,103.7
scs,2017-06-01,102.8
ins,2017-06-01,37.7
unw,2017-06-01,63.6
pzua,2017-06-01,2.3
sch,2017-09-01,109.7
scs,2017-09-01,109.8
ins,2017-09-01,40.6
unw,2017-09-01,66.6
pzua,2017-09-01,2.5
sch,2017-12-01,108.9
scs,2017-12-01,110.9
ins,2017-12-01,38.7
unw,2017-12-01,68.1
pzua,2017-12-01,2.1
sch,2018-03-01,110.3
scs,2018-03-01,109.4
ins,2018-03-01,37.6
unw,2018-03-01,70.1
pzua,2018-03-01,2.5
sch,2018-06-01,113.8
scs,2018-06-01,112.6
ins,2018-06-01,43
unw,2018-06-01,70.8
sch,2018-09-01,116.1
scs,2018-09-01,116.4
ins,2018-09-01,41.2
unw,2018-09-01,74.9
sch,2018-12-01,118.5
scs,2018-12-01,119.7
ins,2018-12-01,40.3
unw,2018-12-01,78.2
sch,2019-03-01,114.8
scs,2019-03-01,115
ins,2019-03-01,38.8
unw,2019-03-01,76
sch,2019-06-01,125.1
scs,2019-06-01,123.5
ins,2019-06-01,40.6
unw,2019-06-01,84.5
sch,2019-09-01,118.2
scs,2019-09-01,118.4
ins,2019-09-01,37.9
unw,2019-09-01,80.2
sch,2019-12-01,116
scs,2019-12-01,116.5
ins,2019-12-01,35.9
unw,2019-12-01,80.1
sch,2020-03-01,124.9
scs,2020-03-01,126.3
ins,2020-03-01,36.4
unw,2020-03-01,88.5
sch,2020-06-01,91.7
scs,2020-06-01,90.2
ins,2020-06-01,28.3
unw,2020-06-01,63.4
sch,2020-09-01,100.5
scs,2020-09-01,100.6
ins,2020-09-01,28.6
unw,2020-09-01,71.9
sch,2020-12-01,99.1
scs,2020-12-01,99.4
ins,2020-12-01,30.3
unw,2020-12-01,68.8
sch,2021-03-01,99.7
scs,2021-03-01,101.3
ins,2021-03-01,30.4
unw,2021-03-01,69.4
sch,2021-06-01,116.7
scs,2021-06-01,114.5
ins,2021-06-01,31.9
unw,2021-06-01,84.8
sch,2021-09-01,127.6
scs,2021-09-01,127.6
ins,2021-09-01,33.9
unw,2021-09-01,93.8
sch,2021-12-01,137
scs,2021-12-01,137.5
ins,2021-12-01,34.9
unw,2021-12-01,102.2
sch,2022-03-01,146.2
scs,2022-03-01,148.8
ins,2022-03-01,38.2
unw,2022-03-01,108
sch,2022-06-01,145.2
scs,2022-06-01,144.8
ins,2022-06-01,39
unw,2022-06-01,106.3
sch,2022-09-01,147.1
scs,2022-09-01,148.4
ins,2022-09-01,36.8
unw,2022-09-01,110.3
sch,2022-12-01,154.4
scs,2022-12-01,153.9
ins,2022-12-01,41.8
unw,2022-12-01,112.6
sch,2023-03-01,152.6
scs,2023-03-01,152.6
ins,2023-03-01,41.6
unw,2023-03-01,110.9
sch,2023-06-01,152.4
scs,2023-06-01,152.7
ins,2023-06-01,41.1
unw,2023-06-01,111.3
sch,2023-09-01,157.1
scs,2023-09-01,157.5
ins,2023-09-01,38.2
unw,2023-09-01,118.9
sch,2023-12-01,150.4
scs,2023-12-01,150.4
ins,2023-12-01,39
unw,2023-12-01,111.5
sch,2024-03-01,146.2
scs,2024-03-01,147.4
ins,2024-03-01,39
unw,2024-03-01,107.2
sch,2024-06-01,135.1
scs,2024-06-01,138.5
ins,2024-06-01,33.6
unw,2024-06-01,101.5
