adjustment,trans,variable,section,date,value
brut,ind,ptot,42,2004-04-01,96.3239126640633
brut,ind,ptot,42,2004-07-01,100.466815250567
brut,ind,ptot,42,2004-10-01,87.9059458759279
brut,ind,ptot,42,2005-01-01,47.8158692125937
brut,ind,ptot,42,2005-04-01,93.4910201484458
brut,ind,ptot,42,2005-07-01,107.718094709959
brut,ind,ptot,42,2005-10-01,89.8546599441976
brut,ind,ptot,42,2006-01-01,56.0947483962179
brut,ind,ptot,42,2006-04-01,97.2031350350469
brut,ind,ptot,42,2006-07-01,101.442346112886
brut,ind,ptot,42,2006-10-01,85.9282964909339
brut,ind,ptot,42,2007-01-01,59.6152502836029
brut,ind,ptot,42,2007-04-01,89.8411780032626
brut,ind,ptot,42,2007-07-01,94.3208347376787
brut,ind,ptot,42,2007-10-01,90.6468250112185
brut,ind,ptot,42,2008-01-01,66.7984907146513
brut,ind,ptot,42,2008-04-01,84.3269624999987
brut,ind,ptot,42,2008-07-01,105.835883401833
brut,ind,ptot,42,2008-10-01,101.006161916234
brut,ind,ptot,42,2009-01-01,58.3234577228774
brut,ind,ptot,42,2009-04-01,110.457070949699
brut,ind,ptot,42,2009-07-01,117.80256504573
brut,ind,ptot,42,2009-10-01,104.925109298839
brut,ind,ptot,42,2010-01-01,63.7572673358384
brut,ind,ptot,42,2010-04-01,108.642316185049
brut,ind,ptot,42,2010-07-01,117.886729993801
brut,ind,ptot,42,2010-10-01,109.845248534199
brut,ind,ptot,42,2011-01-01,75.4170004563791
brut,ind,ptot,42,2011-04-01,115.168633908983
brut,ind,ptot,42,2011-07-01,118.604295789931
brut,ind,ptot,42,2011-10-01,119.813413627552
brut,ind,ptot,42,2012-01-01,63.6940273042281
brut,ind,ptot,42,2012-04-01,106.603479184273
brut,ind,ptot,42,2012-07-01,115.339203648108
brut,ind,ptot,42,2012-10-01,115.943800382907
brut,ind,ptot,42,2013-01-01,63.5320582988083
brut,ind,ptot,42,2013-04-01,105.342954645329
brut,ind,ptot,42,2013-07-01,113.29591468755
brut,ind,ptot,42,2013-10-01,124.758907341073
brut,ind,ptot,42,2014-01-01,71.7462104524612
brut,ind,ptot,42,2014-04-01,106.130683660543
brut,ind,ptot,42,2014-07-01,116.719756806487
brut,ind,ptot,42,2014-10-01,111.825447012694
brut,ind,ptot,42,2015-01-01,66.4524748338612
brut,ind,ptot,42,2015-04-01,105.181161789977
brut,ind,ptot,42,2015-07-01,114.830171481509
brut,ind,ptot,42,2015-10-01,113.536191894651
brut,ind,ptot,42,2016-01-01,74.0086172516641
brut,ind,ptot,42,2016-04-01,104.47911549474
brut,ind,ptot,42,2016-07-01,123.642913503323
brut,ind,ptot,42,2016-10-01,117.644745872046
brut,ind,ptot,42,2017-01-01,74.9223197115562
brut,ind,ptot,42,2017-04-01,105.996632643593
brut,ind,ptot,42,2017-07-01,117.365879465794
brut,ind,ptot,42,2017-10-01,125.353649128634
brut,ind,ptot,42,2018-01-01,79.1055620963475
brut,ind,ptot,42,2018-04-01,107.630727686632
brut,ind,ptot,42,2018-07-01,115.92773814937
brut,ind,ptot,42,2018-10-01,118.128740485899
brut,ind,ptot,42,2019-01-01,77.594730824796
brut,ind,ptot,42,2019-04-01,106.757844339616
brut,ind,ptot,42,2019-07-01,110.586975952152
brut,ind,ptot,42,2019-10-01,119.42528984903
brut,ind,ptot,42,2020-01-01,83.0613117308113
brut,ind,ptot,42,2020-04-01,100.312662273689
brut,ind,ptot,42,2020-07-01,118.586081288472
brut,ind,ptot,42,2020-10-01,125.320453055143
brut,ind,ptot,42,2021-01-01,73.4279736478039
brut,ind,ptot,42,2021-04-01,97.8896283824053
brut,ind,ptot,42,2021-07-01,110.198192401324
brut,ind,ptot,42,2021-10-01,119.149034369639
brut,ind,ptot,42,2022-01-01,69.3266579573395
brut,ind,ptot,42,2022-04-01,91.3727190168356
brut,ind,ptot,42,2022-07-01,95.6153392865532
brut,ind,ptot,42,2022-10-01,100.604271215849
brut,ind,ptot,42,2023-01-01,64.6904134979799
brut,ind,ptot,42,2023-04-01,89.9644537542084
brut,ind,ptot,42,2023-07-01,96.4486375763978
brut,ind,ptot,42,2023-10-01,93.0869322255993
brut,ind,ptot,42,2024-01-01,63.6781582002132
brut,ind,ptot,43,1999-01-01,66.2004785194052
brut,ind,ptot,43,1999-04-01,79.7318099537819
brut,ind,ptot,43,1999-07-01,84.1345024117047
brut,ind,ptot,43,1999-10-01,109.338437136866
brut,ind,ptot,43,2000-01-01,68.2563327962211
brut,ind,ptot,43,2000-04-01,87.244522504508
brut,ind,ptot,43,2000-07-01,85.5109219257299
brut,ind,ptot,43,2000-10-01,112.162700817053
brut,ind,ptot,43,2001-01-01,69.7290916845983
brut,ind,ptot,43,2001-04-01,86.1500871906012
brut,ind,ptot,43,2001-07-01,84.0912131572749
brut,ind,ptot,43,2001-10-01,104.970742633006
brut,ind,ptot,43,2002-01-01,66.7878467862016
brut,ind,ptot,43,2002-04-01,87.435697867291
brut,ind,ptot,43,2002-07-01,82.672159953304
brut,ind,ptot,43,2002-10-01,106.40851378133
brut,ind,ptot,43,2003-01-01,66.5151332296
brut,ind,ptot,43,2003-04-01,84.8391229360266
brut,ind,ptot,43,2003-07-01,83.1041011573729
brut,ind,ptot,43,2003-10-01,106.592449731722
brut,ind,ptot,43,2004-01-01,67.3747868997529
brut,ind,ptot,43,2004-04-01,85.541061168248
brut,ind,ptot,43,2004-07-01,87.9318995554138
brut,ind,ptot,43,2004-10-01,110.620744874169
brut,ind,ptot,43,2005-01-01,67.0230121749293
brut,ind,ptot,43,2005-04-01,88.0303476346726
brut,ind,ptot,43,2005-07-01,87.1091861836183
brut,ind,ptot,43,2005-10-01,117.441244753395
brut,ind,ptot,43,2006-01-01,72.1038287463648
brut,ind,ptot,43,2006-04-01,90.1395278193749
brut,ind,ptot,43,2006-07-01,89.2862730334565
brut,ind,ptot,43,2006-10-01,121.268267017585
brut,ind,ptot,43,2007-01-01,75.3180925724477
brut,ind,ptot,43,2007-04-01,89.46706580205
brut,ind,ptot,43,2007-07-01,92.6714363842589
brut,ind,ptot,43,2007-10-01,121.905906272604
brut,ind,ptot,43,2008-01-01,75.2307227569351
brut,ind,ptot,43,2008-04-01,95.6927173690612
brut,ind,ptot,43,2008-07-01,97.7263513550714
brut,ind,ptot,43,2008-10-01,123.157857837268
brut,ind,ptot,43,2009-01-01,78.7560244938046
brut,ind,ptot,43,2009-04-01,95.1216303884872
brut,ind,ptot,43,2009-07-01,99.8657141891431
brut,ind,ptot,43,2009-10-01,118.516516095289
brut,ind,ptot,43,2010-01-01,76.2931132825498
brut,ind,ptot,43,2010-04-01,100.936795258198
brut,ind,ptot,43,2010-07-01,104.199068107971
brut,ind,ptot,43,2010-10-01,124.021005459724
brut,ind,ptot,43,2011-01-01,78.062825374259
brut,ind,ptot,43,2011-04-01,104.740245780834
brut,ind,ptot,43,2011-07-01,104.190749872405
brut,ind,ptot,43,2011-10-01,118.862530294355
brut,ind,ptot,43,2012-01-01,78.3459175614916
brut,ind,ptot,43,2012-04-01,103.934298723487
brut,ind,ptot,43,2012-07-01,101.873892081177
brut,ind,ptot,43,2012-10-01,119.468760905863
brut,ind,ptot,43,2013-01-01,77.1013436199031
brut,ind,ptot,43,2013-04-01,103.272261833813
brut,ind,ptot,43,2013-07-01,105.571939329304
brut,ind,ptot,43,2013-10-01,122.358949878087
brut,ind,ptot,43,2014-01-01,82.257776836073
brut,ind,ptot,43,2014-04-01,103.57181501952
brut,ind,ptot,43,2014-07-01,103.697518475201
brut,ind,ptot,43,2014-10-01,120.14493620579
brut,ind,ptot,43,2015-01-01,81.2991975074749
brut,ind,ptot,43,2015-04-01,98.863407144487
brut,ind,ptot,43,2015-07-01,100.933001214251
brut,ind,ptot,43,2015-10-01,118.904394133787
brut,ind,ptot,43,2016-01-01,80.7200110826667
brut,ind,ptot,43,2016-04-01,97.1950302487995
brut,ind,ptot,43,2016-07-01,102.978266094615
brut,ind,ptot,43,2016-10-01,117.799312871907
brut,ind,ptot,43,2017-01-01,79.8042649643664
brut,ind,ptot,43,2017-04-01,98.9064742383815
brut,ind,ptot,43,2017-07-01,106.625259343301
brut,ind,ptot,43,2017-10-01,126.009833343408
brut,ind,ptot,43,2018-01-01,79.0331207501856
brut,ind,ptot,43,2018-04-01,102.381199013355
brut,ind,ptot,43,2018-07-01,107.395862761961
brut,ind,ptot,43,2018-10-01,122.955797379082
brut,ind,ptot,43,2019-01-01,81.1501130272338
brut,ind,ptot,43,2019-04-01,100.683749845894
brut,ind,ptot,43,2019-07-01,105.563169798037
brut,ind,ptot,43,2019-10-01,123.26319752579
brut,ind,ptot,43,2020-01-01,85.5924644436434
brut,ind,ptot,43,2020-04-01,98.1933771391203
brut,ind,ptot,43,2020-07-01,110.127256870487
brut,ind,ptot,43,2020-10-01,120.936171788513
brut,ind,ptot,43,2021-01-01,85.07050315181
brut,ind,ptot,43,2021-04-01,107.30417891364
brut,ind,ptot,43,2021-07-01,111.846132592747
brut,ind,ptot,43,2021-10-01,124.485513939813
brut,ind,ptot,43,2022-01-01,83.8892612947034
brut,ind,ptot,43,2022-04-01,106.259811984887
brut,ind,ptot,43,2022-07-01,103.222852752476
brut,ind,ptot,43,2022-10-01,117.622388417681
brut,ind,ptot,43,2023-01-01,85.4315267236381
brut,ind,ptot,43,2023-04-01,98.9054034756135
brut,ind,ptot,43,2023-07-01,105.186529640638
brut,ind,ptot,43,2023-10-01,121.138239332096
brut,ind,ptot,43,2024-01-01,84.2898153020831
brut,ind,ptot,b,1999-01-01,
brut,ind,ptot,b,1999-04-01,
brut,ind,ptot,b,1999-07-01,
brut,ind,ptot,b,1999-10-01,
brut,ind,ptot,b,2000-01-01,
brut,ind,ptot,b,2000-04-01,
brut,ind,ptot,b,2000-07-01,
brut,ind,ptot,b,2000-10-01,
brut,ind,ptot,b,2001-01-01,
brut,ind,ptot,b,2001-04-01,
brut,ind,ptot,b,2001-07-01,
brut,ind,ptot,b,2001-10-01,
brut,ind,ptot,b,2002-01-01,
brut,ind,ptot,b,2002-04-01,
brut,ind,ptot,b,2002-07-01,
brut,ind,ptot,b,2002-10-01,
brut,ind,ptot,b,2003-01-01,
brut,ind,ptot,b,2003-04-01,
brut,ind,ptot,b,2003-07-01,
brut,ind,ptot,b,2003-10-01,
brut,ind,ptot,b,2004-01-01,70.7667274621884
brut,ind,ptot,b,2004-04-01,90.5599971548985
brut,ind,ptot,b,2004-07-01,97.8917901027212
brut,ind,ptot,b,2004-10-01,86.1700127854859
brut,ind,ptot,b,2005-01-01,61.4653523154439
brut,ind,ptot,b,2005-04-01,89.3117467583202
brut,ind,ptot,b,2005-07-01,95.5278504907686
brut,ind,ptot,b,2005-10-01,87.8145209544383
brut,ind,ptot,b,2006-01-01,69.7842930608503
brut,ind,ptot,b,2006-04-01,93.6802393491659
brut,ind,ptot,b,2006-07-01,103.552844922531
brut,ind,ptot,b,2006-10-01,90.3253870900529
brut,ind,ptot,b,2007-01-01,74.2561049831707
brut,ind,ptot,b,2007-04-01,97.4968375890646
brut,ind,ptot,b,2007-07-01,100.750592312425
brut,ind,ptot,b,2007-10-01,90.8499494117097
brut,ind,ptot,b,2008-01-01,67.2218549792602
brut,ind,ptot,b,2008-04-01,93.2317343144563
brut,ind,ptot,b,2008-07-01,96.0851079135017
brut,ind,ptot,b,2008-10-01,83.1164745733623
brut,ind,ptot,b,2009-01-01,68.3112938907549
brut,ind,ptot,b,2009-04-01,92.4627838463533
brut,ind,ptot,b,2009-07-01,106.803994143545
brut,ind,ptot,b,2009-10-01,89.3719685278775
brut,ind,ptot,b,2010-01-01,76.0809578657017
brut,ind,ptot,b,2010-04-01,98.6475355412277
brut,ind,ptot,b,2010-07-01,123.567443597997
brut,ind,ptot,b,2010-10-01,102.905959893076
brut,ind,ptot,b,2011-01-01,83.9571486376604
brut,ind,ptot,b,2011-04-01,104.478230873155
brut,ind,ptot,b,2011-07-01,104.9957880591
brut,ind,ptot,b,2011-10-01,102.908769068751
brut,ind,ptot,b,2012-01-01,70.9043577618945
brut,ind,ptot,b,2012-04-01,111.186715944888
brut,ind,ptot,b,2012-07-01,110.930299962614
brut,ind,ptot,b,2012-10-01,106.610039856652
brut,ind,ptot,b,2013-01-01,73.4128828815062
brut,ind,ptot,b,2013-04-01,111.000649882183
brut,ind,ptot,b,2013-07-01,112.948624089879
brut,ind,ptot,b,2013-10-01,109.255441966112
brut,ind,ptot,b,2014-01-01,82.5565458795136
brut,ind,ptot,b,2014-04-01,107.130761936879
brut,ind,ptot,b,2014-07-01,108.310409091062
brut,ind,ptot,b,2014-10-01,101.863174229415
brut,ind,ptot,b,2015-01-01,80.7007736471635
brut,ind,ptot,b,2015-04-01,109.703130801806
brut,ind,ptot,b,2015-07-01,111.301122374429
brut,ind,ptot,b,2015-10-01,98.2949731766006
brut,ind,ptot,b,2016-01-01,91.600554167021
brut,ind,ptot,b,2016-04-01,106.216695051215
brut,ind,ptot,b,2016-07-01,103.760214720093
brut,ind,ptot,b,2016-10-01,100.736894727469
brut,ind,ptot,b,2017-01-01,97.3964146919464
brut,ind,ptot,b,2017-04-01,111.001772574771
brut,ind,ptot,b,2017-07-01,108.523915689116
brut,ind,ptot,b,2017-10-01,105.818500531335
brut,ind,ptot,b,2018-01-01,92.8736258978669
brut,ind,ptot,b,2018-04-01,106.791577890006
brut,ind,ptot,b,2018-07-01,103.350057612941
brut,ind,ptot,b,2018-10-01,99.5831829208513
brut,ind,ptot,b,2019-01-01,96.523651232383
brut,ind,ptot,b,2019-04-01,99.5626137907203
brut,ind,ptot,b,2019-07-01,99.7583541408302
brut,ind,ptot,b,2019-10-01,94.581535007117
brut,ind,ptot,b,2020-01-01,92.4393265890268
brut,ind,ptot,b,2020-04-01,95.2995681664833
brut,ind,ptot,b,2020-07-01,102.849448633614
brut,ind,ptot,b,2020-10-01,97.1441827154722
brut,ind,ptot,b,2021-01-01,103.807375666061
brut,ind,ptot,b,2021-04-01,112.149142143377
brut,ind,ptot,b,2021-07-01,102.084096296209
brut,ind,ptot,b,2021-10-01,102.242371021325
brut,ind,ptot,b,2022-01-01,98.1392519503542
brut,ind,ptot,b,2022-04-01,98.7451907041211
